ticker,theme,shortName,marketCap,trailingPE,forwardPE,totalRevenue,revenueGrowth,grossMargins,operatingMargins,profitMargins,freeCashflow,totalCash,totalDebt,fiftyTwoWeekHigh,fiftyTwoWeekLow,currentPrice
WULF,ai,TeraWulf Inc.,8998873088,,93.128204,168062000,-0.011,0.64018995,-3.6618,0.0,-283343616,2629995008,5314066944,29.84,4.64,18.16
CORZ,ai,"Core Scientific, Inc.",6656518144,,70.58348,354737984,0.449,0.2156,-0.1877,0.0,174972256,1005148032,2155508992,30.46,12.595,20.94
CIFR,ai,Cipher Digital Inc.,7182903296,,36.583332,209820992,-0.288,0.12375,-2.49371,0.0,-2948059648,715203008,4746686976,30.14,4.55,17.56
HUT,ai,Hut 8 Corp.,10296731648,,-49.232838,284320000,2.255,0.59671,-5.21523,-1.09774,-300598368,160016000,422911008,140.8,18.68,91.45
MSFT,ai,Microsoft Corporation,2925466222592,23.469606,20.324642,318272995328,0.183,0.68309,0.46326,0.39341998,37011251200,78227996672,125431996416,555.45,349.2,393.82
GOOGL,ai,Alphabet Inc.,4231485980672,26.4508,23.67202,422498009088,0.218,0.60368,0.36121,0.37919,27921750016,126839996416,95875997696,408.61,186.15,346.77
AMZN,ai,"Amazon.com, Inc.",2659480240128,29.572968,24.94745,742775980032,0.166,0.50604,0.1314,0.12224,9806624768,143088992256,235540004864,278.56,196.0,247.23
META,ai,"Meta Platforms, Inc.",1639846903808,23.474201,17.782232,214962995200,0.331,0.81941,0.40617,0.32837,25558249472,81180000256,86769000448,796.25,520.26,646.01
AAPL,ai,Apple Inc.,4901757779968,40.502426,34.625034,451442016256,0.166,0.47862,0.32275,0.27152002,101090746368,68507000832,84710998016,334.99,201.5,333.74
ORCL,ai,Oracle Corporation,364120342528,21.682676,11.574311,67356999680,0.206,0.65822,0.36202,0.25368,-24536750080,31893999616,167431995392,345.72,121.5,126.41
APP,ai,Applovin Corporation,142619770880,36.88445,19.587524,6164192256,0.59,0.88367,0.78151,0.6429,3180097280,2758671104,3849840128,745.61,343.0,424.54
NOW,ai,"ServiceNow, Inc.",106472235008,61.45238,20.557055,13959999488,0.221,0.76562,0.13342,0.12586,5108125184,5182000128,2431000064,210.2,81.24,103.24
CRM,ai,,139860639744,19.810905,10.999522,42829000704,0.133,0.77643996,0.218,0.18733,16552999936,11836999680,42547998720,274.0,146.32,170.77
SNOW,ai,Snowflake Inc.,93200736256,,100.08746,5032822784,0.335,0.67144996,-0.22173999,-0.23786,1739497728,2954998016,2772094976,284.99,118.3,268.9
DDOG,ai,"Datadog, Inc.",92083339264,663.30774,89.78301,3672030976,0.322,0.79906,0.00797,0.03695,936726528,4758617088,1285052032,278.705,98.01,258.69
MDB,ai,"MongoDB, Inc.",25121302528,,42.561684,2602398976,0.252,0.71970004,-0.03607,-0.01118,517605376,2427152896,58635000,444.72,198.47,312.33
NET,ai,"Cloudflare, Inc.",98552520704,,175.88669,2328604928,0.335,0.73327005,-0.09689999,-0.037249997,754998272,4163877888,3524536064,291.0,158.83,277.66
CRWD,ai,"CrowdStrike Holdings, Inc.",206788100096,,130.04361,5094199808,0.256,0.75136,-0.022079999,-0.00598,1926365056,4552800768,821342976,217.5,85.68,203.08
PANW,ai,"Palo Alto Networks, Inc.",292324179968,311.89566,86.95315,10606499840,0.311,0.71963996,-0.02465,0.07947,3579375104,3111000064,2130000000,368.8,139.57,358.68
IOT,ai,,22329450496,383.19998,42.818512,1730594944,0.305,0.76298,0.01503,0.03323,242680256,804318976,69020000,47.47,23.38,38.32
PATH,ai,"UiPath, Inc.",6295160832,20.249998,13.3955145,1672329984,0.173,0.8305,0.07274,0.19578,511553632,1307244032,83003000,19.84,9.2,12.15
DUOL,ai,"Duolingo, Inc.",6236488704,15.314647,17.058214,1098813056,0.265,0.72665,0.15369001,0.38441002,312465120,1251609984,91873000,468.0,87.89,133.85
RDDT,ai,"Reddit, Inc.",34878787584,51.765713,19.837818,2473555968,0.691,0.91373,0.27571,0.28604,564094656,2770631936,21288000,282.95,119.27,181.18
SOUN,ai,"SoundHound AI, Inc.",2731677184,,-52.25,183986000,0.517,0.40587002,-1.39299,-0.91836,-16690625,215642000,6226000,22.17,5.83,6.27
AI,ai,,1371062656,,-19.572165,250268000,-0.525,0.3092,-2.13818,-1.87946,-26476750,575449024,58681000,30.11,7.675,8.82
BBAI,ai,"BigBear.ai, Inc.",1360216320,,-14.2,127350000,-0.009,0.25764,-0.669,-2.2669098,-59485124,349385984,24109000,9.39,2.79,2.84
VST,grid,Vistra Corp.,52411641856,25.99331,14.383456,19445000192,0.434,0.38637,0.26578,0.11525,-164124992,658000000,20566999040,219.82,132.66,155.44
CEG,grid,Constellation Energy Corporatio,90128973824,21.927889,18.581274,29866999808,0.638,0.23263,0.21858,0.12693,-4478875136,864000000,22466000896,412.7,228.63,252.39
